"ds","y"
2018-09-29,131.656783536329
2018-09-30,131.715609108481
2018-10-01,131.773108809418
2018-10-02,131.829312522987
2018-10-03,131.884249459485
2018-10-04,131.937948170834
2018-10-05,131.990436565427
2018-10-06,132.041741922627
2018-10-07,132.091890906945
2018-10-08,132.140909581904
2018-10-09,132.188823423578
2018-10-10,132.235657333834
2018-10-11,132.281435653277
2018-10-12,132.326182173898
2018-10-13,132.369920151439
2018-10-14,132.412672317482
2018-10-15,132.454460891258
2018-10-16,132.495307591202
2018-10-17,132.535233646234
2018-10-18,132.574259806794
2018-10-19,132.612406355631
2018-10-20,132.649693118337
2018-10-21,132.686139473655
2018-10-22,132.721764363551
2018-10-23,132.756586303058
2018-10-24,132.790623389897
2018-10-25,132.823893313884
2018-10-26,132.856413366124
2018-10-27,132.888200447996
2018-10-28,132.919271079942
2018-10-29,132.949641410045
2018-10-30,132.979327222429
2018-10-31,133.008343945458
2018-11-01,133.036706659754
2018-11-02,133.06443010604
2018-11-03,133.091528692795
2018-11-04,133.118016503746
2018-11-05,133.143907305184
2018-11-06,133.169214553125
2018-11-07,133.193951400297
2018-11-08,133.218130702979
2018-11-09,133.241765027682
2018-11-10,133.264866657679
2018-11-11,133.287447599392
2018-11-12,133.309519588628
2018-11-13,133.331094096681
2018-11-14,133.352182336294
2018-11-15,133.372795267485
2018-11-16,133.392943603243
2018-11-17,133.412637815098
2018-11-18,133.431888138562
2018-11-19,133.450704578446
2018-11-20,133.469096914066
2018-11-21,133.487074704319
2018-11-22,133.504647292655
2018-11-23,133.521823811931
2018-11-24,133.538613189158
2018-11-25,133.555024150143
2018-11-26,133.571065224019
2018-11-27,133.586744747683
2018-11-28,133.602070870124
2018-11-29,133.617051556663
2018-11-30,133.631694593089
2018-12-01,133.646007589708
2018-12-02,133.659997985296
2018-12-03,133.673673050966
2018-12-04,133.687039893949
2018-12-05,133.700105461284
2018-12-06,133.712876543431
2018-12-07,133.725359777801
2018-12-08,133.737561652202
2018-12-09,133.749488508215
2018-12-10,133.761146544487
2018-12-11,133.772541819953
2018-12-12,133.783680256987
2018-12-13,133.794567644477
2018-12-14,133.805209640836
2018-12-15,133.815611776942
2018-12-16,133.825779459011
2018-12-17,133.835717971409
2018-12-18,133.845432479399
2018-12-19,133.854928031821
2018-12-20,133.864209563722
2018-12-21,133.873281898915
2018-12-22,133.882149752492
2018-12-23,133.89081773327
2018-12-24,133.899290346186
2018-12-25,133.907571994643
2018-12-26,133.915666982793
2018-12-27,133.92357951778
